https://api.eia.gov/v2/electricity/retail-sales/data/,,,"{""frequency"":""annual"",""data"":[""price""],""facets"":{""stateid"": [""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""ENC"", ""ESC"", ""MD"", ""MA"", ""MAT"", ""LA"", ""KY"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""GA"", ""ESC"", ""AK"", ""AL"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""MAT"", ""LA"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""LA"", ""MAT"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MTN"", ""MT"", ""NC"", ""ND"", ""NEW"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PACC"", ""PACN"", ""PA"", ""RI"", ""SAT"", ""SC"", ""SD"", ""TN"", ""TX"", ""US"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WNC"", ""WSC"", ""WV"", ""WY""]},""start"":""2001"",""end"":""2019"",""sort"":[{""column"":""period"",""direction"":""desc""}],""offset"":0,""length"":5000}",,,
Category,Category,Frequency,Data,Facet,,
Electricity,Electricity Sales to Ultimate Customers,annual,price,State / Census Region,,
electricity,retail-sales,annual,price,stateid,,
2015,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatthour
2015,PACN,Pacific Noncontiguous,RES,residential,25.34,cents per kilowatthour
2015,US,U.S. Total,COM,commercial,10.64,cents per kilowatthour
2015,US,U.S. Total,TRA,transportation,10.09,cents per kilowatthour
2015,US,U.S. Total,RES,residential,12.65,cents per kilowatthour
2015,US,U.S. Total,OTH,other,,cents per kilowatthour
2015,US,U.S. Total,IND,industrial,6.91,cents per kilowatthour
2015,VT,Vermont,COM,commercial,14.54,cents per kilowatthour
2015,VA,Virginia,IND,industrial,6.95,cents per kilowatthour
2015,VA,Virginia,COM,commercial,8.21,cents per kilowatthour
2015,VA,Virginia,ALL,all sectors,9.31,cents per kilowatthour
2015,VT,Vermont,TRA,transportation,0,cents per kilowatthour
2015,VT,Vermont,RES,residential,17.09,cents per kilowatthour
2015,VT,Vermont,OTH,other,,cents per kilowatthour
2015,VT,Vermont,IND,industrial,10.27,cents per kilowatthour
2015,KY,Kentucky,OTH,other,,cents per kilowatthour
2015,KY,Kentucky,IND,industrial,5.48,cents per kilowatthour
2015,KY,Kentucky,COM,commercial,9.44,cents per kilowatthour
2015,KY,Kentucky,ALL,all sectors,8.14,cents per kilowatthour
2015,KS,Kansas,TRA,transportation,0,cents per kilowatthour
2015,KS,Kansas,RES,residential,12.34,cents per kilowatthour
2015,KS,Kansas,OTH,other,,cents per kilowatthour
2015,KS,Kansas,IND,industrial,7.61,cents per kilowatthour
2015,KS,Kansas,COM,commercial,10.1,cents per kilowatthour
2015,KS,Kansas,ALL,all sectors,10.14,cents per kilowatthour
2015,IA,Iowa,TRA,transportation,0,cents per kilowatthour
2015,IA,Iowa,RES,residential,11.63,cents per kilowatthour
2015,IA,Iowa,OTH,other,,cents per kilowatthour
2015,IA,Iowa,IND,industrial,5.9,cents per kilowatthour
2015,IA,Iowa,COM,commercial,8.92,cents per kilowatthour
2015,IA,Iowa,ALL,all sectors,8.35,cents per kilowatthour
2015,AK,Alaska,TRA,transportation,0,cents per kilowatthour
2015,AK,Alaska,RES,residential,19.83,cents per kilowatthour
2015,IN,Indiana,TRA,transportation,9.92,cents per kilowatthour
2015,IN,Indiana,RES,residential,11.57,cents per kilowatthour
2015,IN,Indiana,OTH,other,,cents per kilowatthour
2015,IN,Indiana,IND,industrial,6.86,cents per kilowatthour
2015,IN,Indiana,COM,commercial,9.78,cents per kilowatthour
2015,IN,Indiana,ALL,all sectors,8.99,cents per kilowatthour
2015,IL,Illinois,TRA,transportation,6.81,cents per kilowatthour
2015,AR,Arkansas,COM,commercial,8.32,cents per kilowatthour
2015,AR,Arkansas,ALL,all sectors,8.19,cents per kilowatthour
2015,AZ,Arizona,TRA,transportation,9.4,cents per kilowatthour
2015,AZ,Arizona,RES,residential,12.13,cents per kilowatthour
2015,AZ,Arizona,OTH,other,,cents per kilowatthour
2015,AZ,Arizona,IND,industrial,6.26,cents per kilowatthour
2015,AZ,Arizona,COM,commercial,10.39,cents per kilowatthour
2015,AZ,Arizona,ALL,all sectors,10.34,cents per kilowatthour
2015,AK,Alaska,OTH,other,,cents per kilowatthour
2015,AK,Alaska,IND,industrial,14.53,cents per kilowatthour
2015,AK,Alaska,COM,commercial,17.44,cents per kilowatthour
2015,AK,Alaska,ALL,all sectors,17.59,cents per kilowatthour
2015,AL,Alabama,TRA,transportation,0,cents per kilowatthour
2015,AL,Alabama,RES,residential,11.7,cents per kilowatthour
2015,AL,Alabama,OTH,other,,cents per kilowatthour
2015,AL,Alabama,IND,industrial,6.03,cents per kilowatthour
2015,AL,Alabama,COM,commercial,10.83,cents per kilowatthour
2015,AL,Alabama,ALL,all sectors,9.33,cents per kilowatthour
2015,NC,North Carolina,ALL,all sectors,9.37,cents per kilowatthour
2015,RI,Rhode Island,RES,residential,19.29,cents per kilowatthour
2015,RI,Rhode Island,OTH,other,,cents per kilowatthour
2015,RI,Rhode Island,IND,industrial,13.76,cents per kilowatthour
2015,RI,Rhode Island,COM,commercial,15.78,cents per kilowatthour
2015,RI,Rhode Island,ALL,all sectors,17.01,cents per kilowatthour
2015,PA,Pennsylvania,TRA,transportation,7.82,cents per kilowatthour
2015,PA,Pennsylvania,RES,residential,13.64,cents per kilowatthour
2015,PA,Pennsylvania,OTH,other,,cents per kilowatthour
2015,PA,Pennsylvania,IND,industrial,7.2,cents per kilowatthour
2015,PA,Pennsylvania,COM,commercial,9.6,cents per kilowatthour
2015,PA,Pennsylvania,ALL,all sectors,10.31,cents per kilowatthour
2015,OR,Oregon,TRA,transportation,9.14,cents per kilowatthour
2015,OR,Oregon,RES,residential,10.66,cents per kilowatthour
2015,OR,Oregon,OTH,other,,cents per kilowatthour
2015,OR,Oregon,IND,industrial,5.97,cents per kilowatthour
2015,OR,Oregon,COM,commercial,8.8,cents per kilowatthour
2015,OR,Oregon,ALL,all sectors,8.75,cents per kilowatthour
2015,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2015,OK,Oklahoma,RES,residential,10.14,cents per kilowatthour
2015,OK,Oklahoma,OTH,other,,cents per kilowatthour
2015,OK,Oklahoma,IND,industrial,5.35,cents per kilowatthour
2015,OK,Oklahoma,COM,commercial,7.68,cents per kilowatthour
2015,OK,Oklahoma,ALL,all sectors,7.9,cents per kilowatthour
2015,OH,Ohio,TRA,transportation,7.69,cents per kilowatthour
2015,OH,Ohio,RES,residential,12.8,cents per kilowatthour
2015,OH,Ohio,OTH,other,,cents per kilowatthour
2015,OH,Ohio,IND,industrial,7.02,cents per kilowatthour
2015,OH,Ohio,COM,commercial,10.07,cents per kilowatthour
